CMA,CDUID,Province,RCP,GCM,Era,Number of heat hospitalizations per year
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2080s,4.864985724
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,HadGEM2-AO,2050s,21.62657086
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,HadGEM2-AO,2080s,20.97871668
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,HadGEM2-ES,2050s,17.67504613
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,HadGEM2-ES,2080s,22.38467839
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2050s,25.27377034
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2080s,24.19356998
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,MRI-CGCM3,2050s,6.04937306
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,MRI-CGCM3,2080s,6.022819904
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,CCSM4,2050s,11.63848827
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,CCSM4,2080s,20.14437034
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,GFDL-CM3,2050s,29.31437673
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,GFDL-CM3,2080s,41.05222279
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,GFDL-ESM2M,2050s,9.149722533
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,GFDL-ESM2M,2080s,14.10496978
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,HadGEM2-AO,2050s,26.18016784
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,HadGEM2-AO,2080s,37.66636411
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,HadGEM2-ES,2050s,28.38917695
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,HadGEM2-ES,2080s,39.70343163
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,MIROC-ESM-CHEM,2050s,31.34623636
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,MIROC-ESM-CHEM,2080s,41.61562186
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,MRI-CGCM3,2050s,10.73781681
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,MRI-CGCM3,2080s,20.44915286
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,CCSM4,2050s,6.595087304
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,CCSM4,2080s,5.400804031
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,GFDL-CM3,2050s,17.69645012
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,GFDL-CM3,2080s,19.53050109
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2050s,4.953762315
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2080s,3.47494282
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,HadGEM2-AO,2050s,14.9189228
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,HadGEM2-AO,2080s,14.63570214
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,HadGEM2-ES,2050s,13.86004253
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,HadGEM2-ES,2080s,16.62438194
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2050s,17.94197008
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2080s,17.45203967
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,MRI-CGCM3,2050s,4.544279961
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp45,MRI-CGCM3,2080s,4.125182736
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,CCSM4,2050s,9.777866097
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,CCSM4,2080s,16.75423364
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,GFDL-CM3,2050s,21.66316087
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,GFDL-CM3,2080s,30.09299158
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,GFDL-ESM2M,2050s,6.681656687
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,GFDL-ESM2M,2080s,9.911473108
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,HadGEM2-AO,2050s,18.57902563
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,HadGEM2-AO,2080s,25.92822655
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,HadGEM2-ES,2050s,19.85759829
