CMA,CDUID,Province,RCP,GCM,Era,Number of heat hospitalizations per year
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp45,GFDL-ESM2M,2050s,12.45407982
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp45,GFDL-ESM2M,2080s,16.89751216
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp45,HadGEM2-AO,2050s,25.68018329
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp45,HadGEM2-AO,2080s,35.65075697
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp45,HadGEM2-ES,2050s,21.02782912
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp45,HadGEM2-ES,2080s,34.11218638
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp45,MIROC-ESM-CHEM,2050s,23.03876855
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp45,MIROC-ESM-CHEM,2080s,31.56636053
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp45,MRI-CGCM3,2050s,10.84718823
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp45,MRI-CGCM3,2080s,16.47722248
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,CCSM4,2050s,21.62715573
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,CCSM4,2080s,40.64588274
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,GFDL-CM3,2050s,34.80860923
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,GFDL-CM3,2080s,59.85303073
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,GFDL-ESM2M,2050s,18.00854817
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,GFDL-ESM2M,2080s,31.23460599
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,HadGEM2-AO,2050s,29.18989096
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,HadGEM2-AO,2080s,49.55556186
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,HadGEM2-ES,2050s,26.83939661
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,HadGEM2-ES,2080s,52.35809761
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,MIROC-ESM-CHEM,2050s,30.76947056
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,MIROC-ESM-CHEM,2080s,54.81639317
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,MRI-CGCM3,2050s,14.30511368
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2413,Quebec,rcp85,MRI-CGCM3,2080s,30.6181458
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,CCSM4,2050s,19.56586624
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,CCSM4,2080s,25.23760044
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,GFDL-CM3,2050s,34.68383516
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,GFDL-CM3,2080s,48.03929438
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,GFDL-ESM2M,2050s,13.93346347
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,GFDL-ESM2M,2080s,19.19699725
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,HadGEM2-AO,2050s,27.72938174
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,HadGEM2-AO,2080s,38.54335987
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,HadGEM2-ES,2050s,23.10525012
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,HadGEM2-ES,2080s,37.66011668
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,MIROC-ESM-CHEM,2050s,24.8210487
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,MIROC-ESM-CHEM,2080s,34.04453344
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,MRI-CGCM3,2050s,12.16756468
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp45,MRI-CGCM3,2080s,18.32027568
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,CCSM4,2050s,24.21276675
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,CCSM4,2080s,44.65017587
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,GFDL-CM3,2050s,38.40841249
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,GFDL-CM3,2080s,65.07998119
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,GFDL-ESM2M,2050s,21.17670541
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,GFDL-ESM2M,2080s,35.05592492
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,HadGEM2-AO,2050s,31.33544745
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,HadGEM2-AO,2080s,53.82265744
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,HadGEM2-ES,2050s,29.51856691
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,HadGEM2-ES,2080s,57.10037281
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,MIROC-ESM-CHEM,2050s,33.7670491
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,MIROC-ESM-CHEM,2080s,59.5425868
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,MRI-CGCM3,2050s,15.74014654
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2414,Quebec,rcp85,MRI-CGCM3,2080s,34.0937982
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,CCSM4,2050s,14.28324851
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,CCSM4,2080s,17.28289694
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,GFDL-CM3,2050s,26.3731639
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,GFDL-CM3,2080s,36.77469522
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,GFDL-ESM2M,2050s,10.95721868
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,GFDL-ESM2M,2080s,15.1250627
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,HadGEM2-AO,2050s,18.96708181
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,HadGEM2-AO,2080s,26.80911937
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,HadGEM2-ES,2050s,16.49673296
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,HadGEM2-ES,2080s,26.56990742
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,MIROC-ESM-CHEM,2050s,17.30155224
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,MIROC-ESM-CHEM,2080s,23.34706419
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,MRI-CGCM3,2050s,8.009524618
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp45,MRI-CGCM3,2080s,12.50217663
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,CCSM4,2050s,17.37881258
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,CCSM4,2080s,32.60228488
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,GFDL-CM3,2050s,29.59405877
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,GFDL-CM3,2080s,49.86607645
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,GFDL-ESM2M,2050s,16.55845617
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,GFDL-ESM2M,2080s,26.36306734
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,HadGEM2-AO,2050s,22.86011104
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,HadGEM2-AO,2080s,39.44137428
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,HadGEM2-ES,2050s,21.12927466
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,HadGEM2-ES,2080s,42.17291514
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,MIROC-ESM-CHEM,2050s,23.62953868
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,MIROC-ESM-CHEM,2080s,43.87421399
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,MRI-CGCM3,2050s,10.57080903
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2415,Quebec,rcp85,MRI-CGCM3,2080s,24.28239156
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,CCSM4,2050s,9.68738342
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,CCSM4,2080s,12.57648884
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,GFDL-CM3,2050s,19.57356845
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,GFDL-CM3,2080s,28.2611177
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,GFDL-ESM2M,2050s,7.996527546
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,GFDL-ESM2M,2080s,11.39754503
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,HadGEM2-AO,2050s,12.77446083
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,HadGEM2-AO,2080s,17.96575411
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,HadGEM2-ES,2050s,11.68244501
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,HadGEM2-ES,2080s,19.19814934
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,MIROC-ESM-CHEM,2050s,11.83396356
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,MIROC-ESM-CHEM,2080s,16.2932903
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,MRI-CGCM3,2050s,5.781176979
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp45,MRI-CGCM3,2080s,8.8973067
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,CCSM4,2050s,12.66599973
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,CCSM4,2080s,25.32163394
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,GFDL-CM3,2050s,23.01102539
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,GFDL-CM3,2080s,40.44933029
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,GFDL-ESM2M,2050s,12.25328272
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,GFDL-ESM2M,2080s,19.97587458
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,HadGEM2-AO,2050s,16.9749409
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,HadGEM2-AO,2080s,31.26313677
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,HadGEM2-ES,2050s,15.22914399
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,HadGEM2-ES,2080s,33.29385744
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,MIROC-ESM-CHEM,2050s,17.82404262
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,MIROC-ESM-CHEM,2080s,33.47535743
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,MRI-CGCM3,2050s,7.295777609
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2416,Quebec,rcp85,MRI-CGCM3,2080s,16.97459706
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,CCSM4,2050s,16.98372421
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,CCSM4,2080s,22.41548473
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,GFDL-CM3,2050s,29.38460032
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,GFDL-CM3,2080s,40.68475108
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,GFDL-ESM2M,2050s,12.10554139
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,GFDL-ESM2M,2080s,16.89896894
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,HadGEM2-AO,2050s,22.98620503
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,HadGEM2-AO,2080s,32.46734553
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,HadGEM2-ES,2050s,20.41654171
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,HadGEM2-ES,2080s,32.53802271
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,MIROC-ESM-CHEM,2050s,21.30285113
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,MIROC-ESM-CHEM,2080s,30.02441941
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,MRI-CGCM3,2050s,10.94244722
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp45,MRI-CGCM3,2080s,16.20412325
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,CCSM4,2050s,20.57013989
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,CCSM4,2080s,38.11570455
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,GFDL-CM3,2050s,32.60199634
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,GFDL-CM3,2080s,55.03948876
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,GFDL-ESM2M,2050s,18.46048581
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,GFDL-ESM2M,2080s,30.72885045
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,HadGEM2-AO,2050s,26.64653567
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,HadGEM2-AO,2080s,45.91481229
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,HadGEM2-ES,2050s,25.60781043
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,HadGEM2-ES,2080s,48.89980225
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,MIROC-ESM-CHEM,2050s,28.99213914
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,MIROC-ESM-CHEM,2080s,51.01696032
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,MRI-CGCM3,2050s,13.86048722
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2417,Quebec,rcp85,MRI-CGCM3,2080s,29.73430619
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,CCSM4,2050s,21.96775586
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,CCSM4,2080s,29.19908287
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,GFDL-CM3,2050s,38.01298199
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,GFDL-CM3,2080s,52.42344929
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,GFDL-ESM2M,2050s,15.55616783
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,GFDL-ESM2M,2080s,21.95219263
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,HadGEM2-AO,2050s,29.78878073
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,HadGEM2-AO,2080s,41.87531674
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,HadGEM2-ES,2050s,26.59031293
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,HadGEM2-ES,2080s,42.20248271
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,MIROC-ESM-CHEM,2050s,27.57531476
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,MIROC-ESM-CHEM,2080s,38.84516075
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,MRI-CGCM3,2050s,14.47530059
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp45,MRI-CGCM3,2080s,21.22815221
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,CCSM4,2050s,26.7939001
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,CCSM4,2080s,49.14697356
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,GFDL-CM3,2050s,41.73044752
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,GFDL-CM3,2080s,70.95611998
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,GFDL-ESM2M,2050s,24.16239932
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,GFDL-ESM2M,2080s,40.04574265
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,HadGEM2-AO,2050s,34.1755792
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,HadGEM2-AO,2080s,58.82691281
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,HadGEM2-ES,2050s,32.65267451
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,HadGEM2-ES,2080s,62.49114016
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,MIROC-ESM-CHEM,2050s,37.22693181
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,MIROC-ESM-CHEM,2080s,65.18446019
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,MRI-CGCM3,2050s,18.26581247
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2418,Quebec,rcp85,MRI-CGCM3,2080s,38.52026047
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,CCSM4,2050s,36.73118185
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,CCSM4,2080s,49.09730368
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,GFDL-CM3,2050s,63.20425758
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,GFDL-CM3,2080s,87.27851801
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,GFDL-ESM2M,2050s,26.05262803
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,GFDL-ESM2M,2080s,36.60290394
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,HadGEM2-AO,2050s,49.61065271
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,HadGEM2-AO,2080s,70.89047925
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,HadGEM2-ES,2050s,44.60596738
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,HadGEM2-ES,2080s,70.0557556
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,MIROC-ESM-CHEM,2050s,44.93453465
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,MIROC-ESM-CHEM,2080s,65.44528643
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,MRI-CGCM3,2050s,24.85316508
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp45,MRI-CGCM3,2080s,35.53787207
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp85,CCSM4,2050s,44.17583843
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp85,CCSM4,2080s,81.01382277
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp85,GFDL-CM3,2050s,69.15365954
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp85,GFDL-CM3,2080s,116.2731004
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp85,GFDL-ESM2M,2050s,40.77238545
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp85,GFDL-ESM2M,2080s,66.46761911
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp85,HadGEM2-AO,2050s,56.281023
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp85,HadGEM2-AO,2080s,96.79934169
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp85,HadGEM2-ES,2050s,53.99806574
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2419,Quebec,rcp85,HadGEM2-ES,2080s,102.7581905
