GCM,RCP,Province,Era,disp_heat_deaths,premature_heat_deaths,heat_deaths_total
MRI-CGCM3,RCP 4.5,Quebec,2080s,30.10574554,24.63197362,54.73771916
MRI-CGCM3,RCP 4.5,Saskatchewan,2050s,2.441962156,1.997969037,4.439931192
MRI-CGCM3,RCP 4.5,Saskatchewan,2080s,5.512022422,4.509836527,10.02185895
MRI-CGCM3,RCP 4.5,Yukon,2050s,0.001508495,0.001234223,0.002742717
MRI-CGCM3,RCP 4.5,Yukon,2080s,0.005327294,0.004358695,0.009685988
MRI-CGCM3,RCP 8.5,Alberta,2050s,9.190150953,7.519214416,16.70936537
MRI-CGCM3,RCP 8.5,Alberta,2080s,26.78559755,21.9154889,48.70108645
MRI-CGCM3,RCP 8.5,British Columbia,2050s,16.93771548,13.85813085,30.79584633
MRI-CGCM3,RCP 8.5,British Columbia,2080s,43.74526865,35.79158344,79.53685208
MRI-CGCM3,RCP 8.5,Manitoba,2050s,5.65781243,4.629119261,10.28693169
MRI-CGCM3,RCP 8.5,Manitoba,2080s,11.98593922,9.806677543,21.79261676
MRI-CGCM3,RCP 8.5,New Brunswick,2050s,3.828250054,3.132204589,6.960454643
MRI-CGCM3,RCP 8.5,New Brunswick,2080s,7.15454287,5.853716894,13.00825976
MRI-CGCM3,RCP 8.5,Newfoundland and Labrador,2050s,1.879681237,1.537921012,3.417602249
MRI-CGCM3,RCP 8.5,Newfoundland and Labrador,2080s,3.28866327,2.690724494,5.979387764
MRI-CGCM3,RCP 8.5,Northwest Territories,2050s,0.015299274,0.012517588,0.027816862
MRI-CGCM3,RCP 8.5,Northwest Territories,2080s,0.026370701,0.021576028,0.047946729
MRI-CGCM3,RCP 8.5,Nova Scotia,2050s,5.567724457,4.55541092,10.12313538
MRI-CGCM3,RCP 8.5,Nova Scotia,2080s,9.968402471,8.155965658,18.12436813
MRI-CGCM3,RCP 8.5,Nunavut,2050s,0.000597101,0.000488537,0.001085637
MRI-CGCM3,RCP 8.5,Nunavut,2080s,0.001326888,0.001085636,0.002412524
MRI-CGCM3,RCP 8.5,Ontario,2050s,54.66990983,44.72992623,99.39983606
MRI-CGCM3,RCP 8.5,Ontario,2080s,114.0188943,93.28818626,207.3070806
MRI-CGCM3,RCP 8.5,Prince Edward Island,2050s,0.749652411,0.613351973,1.363004384
MRI-CGCM3,RCP 8.5,Prince Edward Island,2080s,1.697850743,1.389150608,3.087001351
MRI-CGCM3,RCP 8.5,Quebec,2050s,29.33182679,23.99876737,53.33059416
MRI-CGCM3,RCP 8.5,Quebec,2080s,60.8020763,49.74715334,110.5492296
MRI-CGCM3,RCP 8.5,Saskatchewan,2050s,4.580170432,3.747412171,8.327582603
MRI-CGCM3,RCP 8.5,Saskatchewan,2080s,11.81229796,9.66460742,21.47690538
MRI-CGCM3,RCP 8.5,Yukon,2050s,0.006742954,0.005516962,0.012259916
MRI-CGCM3,RCP 8.5,Yukon,2080s,0.017046252,0.013946933,0.030993185
